('typical', 'rooms') = 11.495502361566803
('make', 'lot') = 11.495502361566803
('looking', 'what') = 11.488989054608128
('looking', 'place') = 11.473047510739107
('superior', 'experience') = 11.467487985397206
('destination', 'reach') = 11.467487985397206
('best', 'western') = 11.457121269838947
('glad', 'considered') = 11.453682185872175
('shine', 'way') = 11.453682185872175
('absence', 'returned') = 11.453682185872175
('inconvenience', 'dismissive') = 11.453682185872175
('inconvenience', 'unnecessary') = 11.453682185872175
('humid', 'musty') = 11.453682185872175
('threat', 'charge') = 11.453682185872175
('checkin', 'digital') = 11.453682185872175
('uncomfortable', 'muggy') = 11.453682185872175
('informative', 'done') = 11.453682185872175
('roaches', 'galore') = 11.453682185872175
('roaches', 'everywhere') = 11.453682185872175
('potatoes', 'sausage') = 11.453682185872175
('important', 'view') = 11.453682185872175
('sanitation', 'food') = 11.453682185872175
('sleeping', 'thinking') = 11.453682185872175
('clear', 'lot') = 11.453682185872175
('delight', 'day') = 11.453682185872175
('foods', 'keeping') = 11.453682185872175
('different', 'period') = 11.453682185872175
('different', 'restaurant') = 11.453682185872175
('different', 'elevator') = 11.453682185872175
('impressive', 'part') = 11.453682185872175
('storage', 'keeping') = 11.453682185872175
('track', 'keeping') = 11.453682185872175
('impossible', 'lot') = 11.453682185872175
('valued', 'dear') = 11.453682185872175
('buy', 'day') = 11.453682185872175
('lure', 'on') = 11.453682185872175
('lacking', 'lot') = 11.453682185872175
('stocked', 'food') = 11.453682185872175
('star', 'review') = 11.453682185872175
('knowledgeable', 'staff') = 11.43791487001386
('cordial', 'staff') = 11.430962109372093
('outstanding', 'breakfast') = 11.427539771069945
('weekends', 'screaming') = 11.41304020137483
('school', 'charm') = 11.41304020137483
('maid', 'honor') = 11.41304020137483
('changed', 'convinced') = 11.41304020137483
('vision', 'what') = 11.41304020137483
('shabby', 'condition') = 11.41304020137483
('shabby', 'problem') = 11.41304020137483
('lucky', 'allowed') = 11.41304020137483
('flexible', 'people') = 11.41304020137483
('visitors', 'legged') = 11.41304020137483
('visitors', 'safety') = 11.41304020137483
('overlook', 'what') = 11.41304020137483
('commitment', 'allowed') = 11.41304020137483
('web', 'door') = 11.41304020137483
('bigger', 'pool') = 11.41304020137483
('greatest', 'care') = 11.41304020137483
('aware', 'problem') = 11.41304020137483
('first', 'review') = 11.41304020137483
('big', 'enough') = 11.41304020137483
('guarantee', 'standing') = 11.40637647109382
('long', 'walk') = 11.40598544384088
('like', 'family') = 11.404401283100958
('enjoy', 'day') = 11.403056112802208
('good', 'price') = 11.39732733608514
('desirable', 'less') = 11.397098657505808
('like', 'what') = 11.39134513027551
('find', 'spot') = 11.389193459420461
('do', 'nothing') = 11.384498620726175
('complimentary', 'service') = 11.380025144146867
('pleasant', 'staff') = 11.377551116656205
('enjoyable', 'stay') = 11.3760028220503
('needed', 'place') = 11.374455494721602
('busy', 'day') = 11.367952311846292
('television', 'reception') = 11.360572781480695
('terrible', 'reception') = 11.360572781480695
('buy', 'pool') = 11.360572781480695
('superb', 'food') = 11.360572781480695
('superb', 'view') = 11.360572781480695
('older', 'section') = 11.360572781480695
('pancakes', 'sausage') = 11.360572781480695
('overpriced', 'restaurant') = 11.354146512321261
('quick', 'getaway') = 11.348660973237532
('excellent', 'breakfast') = 11.344327451290816
('fantastic', 'experience') = 11.329984461647271
('to', 'everywhere') = 11.328151303788317
('typical', 'hotel') = 11.323098076062031
